,vid_id,ad_view
214,VID_20389,6867
215,VID_2988,0
216,VID_5453,65
217,VID_6553,2264
218,VID_18356,2188
219,VID_15268,3676
220,VID_21503,2873
221,VID_6901,1537
222,VID_5796,4053
223,VID_21475,16991
224,VID_19600,4044
225,VID_7977,3888
226,VID_4704,1
227,VID_20858,3801
228,VID_23644,0
229,VID_12962,2733
230,VID_4894,0
231,VID_4803,42
232,VID_8408,2504
233,VID_12226,5105
234,VID_1299,2790
235,VID_7721,4600
236,VID_1919,1589
237,VID_23316,0
238,VID_17849,3242
239,VID_1313,0
240,VID_9117,0
241,VID_9152,3813
242,VID_15543,3837
243,VID_11505,2291
244,VID_647,1852
245,VID_2236,0
246,VID_14118,3805
247,VID_1225,3544
248,VID_11257,0
249,VID_13130,0
250,VID_12580,2539
251,VID_860,3190
252,VID_14251,0
253,VID_6476,0
254,VID_13070,2477
255,VID_4623,6412
256,VID_13599,3046
257,VID_11705,1125
258,VID_11736,209
259,VID_14145,2438
260,VID_13264,3410
261,VID_10476,1300
262,VID_22755,5745
263,VID_13294,1959
264,VID_964,10
265,VID_23498,0
266,VID_12090,3008
267,VID_7494,15
268,VID_141,3032
269,VID_242,0
270,VID_8088,0
271,VID_10154,8177
272,VID_3878,1433
273,VID_4799,62
274,VID_12287,4782
275,VID_15607,4068
276,VID_9974,3667
277,VID_20032,4346
278,VID_9920,0
279,VID_7959,0
280,VID_21506,3732
281,VID_15898,5024
282,VID_4349,3617
283,VID_16235,3282
284,VID_6391,6955
285,VID_4940,1880
286,VID_16185,5615
287,VID_6988,0
288,VID_877,0
289,VID_23610,0
290,VID_17702,0
291,VID_18664,3987
292,VID_9915,122
293,VID_4438,892
294,VID_15812,1672
295,VID_15966,3256
296,VID_2832,0
297,VID_20533,4491
298,VID_12692,2364
299,VID_11340,1875
300,VID_10760,0
301,VID_19631,6097
302,VID_7012,3551
303,VID_7799,0
304,VID_3963,0
305,VID_501,0
306,VID_9202,2259
307,VID_14268,4454
308,VID_21714,7077
309,VID_23154,0
310,VID_4429,2116
311,VID_16062,1786
312,VID_6282,0
313,VID_13205,3472
314,VID_8515,2859
315,VID_9480,3417
316,VID_21979,6560
317,VID_18494,3109
318,VID_20589,1321
319,VID_15916,3480
320,VID_17023,3330
321,VID_8425,2161
322,VID_3586,4719
323,VID_5788,3334
324,VID_12137,2788
325,VID_14347,512
326,VID_19044,1448
327,VID_11039,43773
328,VID_3484,1614
329,VID_15142,1537
330,VID_3351,0
331,VID_5895,3313
332,VID_16112,3137
333,VID_19247,405
334,VID_11439,3216
335,VID_18883,0
336,VID_12140,1302
337,VID_17446,1289
338,VID_5115,3238
339,VID_21486,3462
340,VID_17120,6968
341,VID_3959,0
342,VID_15956,3687
343,VID_15739,0
344,VID_2682,3528
345,VID_14621,1075
346,VID_9320,0
347,VID_12110,104
348,VID_11354,2849
349,VID_811,0
350,VID_9472,554
351,VID_4773,3088
352,VID_12695,2095
353,VID_19547,5570
354,VID_530,913
355,VID_155,3225
356,VID_22955,4175
357,VID_20307,4737
358,VID_11612,3826
359,VID_15674,316
360,VID_13000,37
361,VID_1455,4979
362,VID_23534,0
363,VID_18740,2847
364,VID_17988,5112
365,VID_21728,3021
366,VID_10905,4041
367,VID_18445,2632
368,VID_21983,5926
369,VID_16023,4165
370,VID_1444,6190
371,VID_1814,0
372,VID_19094,2898
373,VID_19355,4128
374,VID_20430,5532
375,VID_13461,4132
376,VID_9066,3986
377,VID_3020,2485
378,VID_13577,511
379,VID_5062,3240
380,VID_9293,2291
381,VID_16663,5308
382,VID_20444,5290
383,VID_22353,8098
384,VID_22384,5164
385,VID_23036,0
386,VID_12705,5059
387,VID_11785,492
388,VID_22988,8080
389,VID_9495,3672
390,VID_8909,1505
391,VID_13459,2967
392,VID_22206,1422
393,VID_12228,3145
394,VID_2335,2201
395,VID_17498,4020
396,VID_18702,3010
397,VID_10850,333
398,VID_12956,3494
399,VID_6246,0
400,VID_9539,0
401,VID_17436,1124
402,VID_8383,3820
403,VID_4554,2482
404,VID_18487,0
405,VID_6285,0
406,VID_287,3019
407,VID_5371,0
408,VID_10704,1964
409,VID_20810,1477
410,VID_7972,0
411,VID_10923,5741
412,VID_11876,4097
413,VID_15477,5096
414,VID_12366,51
415,VID_6538,0
416,VID_10092,3548
417,VID_6826,959
418,VID_22526,7120
419,VID_10897,3423
420,VID_3400,277
421,VID_9995,1711
422,VID_19337,0
423,VID_9673,0
424,VID_12280,9718
425,VID_14038,3321
426,VID_11157,478
427,VID_13406,3389
428,VID_7774,0
429,VID_7386,2120
430,VID_2419,0
431,VID_6334,0
432,VID_1778,3249
433,VID_4907,913
434,VID_7122,1969
435,VID_10445,730
436,VID_18113,3682
437,VID_6716,0
438,VID_5803,1822
439,VID_6459,0
440,VID_14427,2882
441,VID_3872,4883
442,VID_6774,1424
443,VID_11609,2500
444,VID_21821,5915
445,VID_14317,3432
446,VID_4982,0
447,VID_5798,2883
448,VID_4365,2444
449,VID_6535,1680
450,VID_7237,746
451,VID_10388,1050
452,VID_17934,648
453,VID_838,129
454,VID_5439,243
455,VID_11455,320
456,VID_7473,459
457,VID_16677,4900
458,VID_18433,0
459,VID_10243,801
460,VID_23592,1135
461,VID_19401,0
462,VID_2547,9
463,VID_4525,3190
464,VID_13804,2940
465,VID_22266,4818
466,VID_7560,1149
467,VID_10381,4388
468,VID_4977,1478
469,VID_14081,8482
470,VID_19054,106
471,VID_2608,8538
472,VID_8639,4185
473,VID_4407,1252
474,VID_9135,1416
475,VID_9462,1258
476,VID_10687,3278
477,VID_15274,4350
478,VID_22631,1710
479,VID_3777,0
480,VID_10585,3932
481,VID_18024,9419
482,VID_10941,2796
483,VID_525,0
484,VID_17097,4229
485,VID_13836,6335
486,VID_12202,1934
487,VID_20868,7722
488,VID_17084,7610
489,VID_23196,22
490,VID_7322,2715
491,VID_17922,1197
492,VID_5486,814
493,VID_15289,6097
494,VID_7993,3107
495,VID_14078,0
496,VID_21530,4897
497,VID_11469,2986
498,VID_20959,1745
499,VID_18159,467
500,VID_19624,19908
501,VID_19029,2376
502,VID_3489,1024
503,VID_15983,2764
504,VID_23605,824
505,VID_23757,1261
506,VID_7488,1777
507,VID_15445,0
508,VID_4538,4873
509,VID_22661,3652
510,VID_5912,0
511,VID_3324,0
512,VID_21241,473
513,VID_18194,2262
514,VID_8640,4097
515,VID_10657,2444
516,VID_3622,0
517,VID_14909,3558
518,VID_5961,3521
519,VID_117,540
520,VID_4690,1085
521,VID_10717,2678
522,VID_20280,3063
523,VID_6395,0
524,VID_9199,1618
525,VID_6343,0
526,VID_7459,214
527,VID_18041,2435
528,VID_12175,1749
529,VID_8174,1805
530,VID_15644,1781
531,VID_3021,2963
532,VID_251,132
533,VID_20609,5327
534,VID_2033,0
535,VID_20357,1588
536,VID_16428,2881
537,VID_12297,6881
538,VID_1214,5316
539,VID_19907,0
540,VID_4697,0
541,VID_22474,7173
542,VID_4002,0
543,VID_17351,4828
544,VID_937,3466
545,VID_17501,3747
546,VID_2312,1730
547,VID_22996,2044
548,VID_14413,0
549,VID_7938,0
550,VID_616,2270
551,VID_22499,6381
552,VID_21393,2654
553,VID_23320,0
554,VID_22780,4370
555,VID_10862,4403
556,VID_21132,2828
557,VID_1416,2411
558,VID_624,2046
559,VID_10127,3405
560,VID_15874,2147
561,VID_6946,137
562,VID_8674,3595
563,VID_22878,2347
564,VID_560,0
565,VID_13640,1941
566,VID_9765,573
567,VID_22398,2799
568,VID_20560,5494
569,VID_4068,2595
570,VID_938,2489
571,VID_19068,2009
572,VID_8889,2802
573,VID_23347,56
574,VID_16952,4725
575,VID_6032,3184
576,VID_5116,0
577,VID_4210,3829
578,VID_22022,6523
579,VID_16770,4655
580,VID_18981,3253
581,VID_1668,4489
582,VID_23726,2311
583,VID_18550,47
584,VID_5518,2093
585,VID_12958,4765
586,VID_16501,3401
587,VID_21485,4205
588,VID_14475,3186
589,VID_3865,0
590,VID_21642,4554
591,VID_22934,7968
592,VID_14667,2709
593,VID_5519,67
594,VID_17889,0
595,VID_17728,0
596,VID_8727,2927
597,VID_14785,1050
598,VID_16387,1908
599,VID_10703,1858
600,VID_7213,4361
601,VID_14454,0
602,VID_13455,3172
603,VID_5467,2316
604,VID_21139,3798
605,VID_9033,4885
606,VID_3863,0
607,VID_13990,0
608,VID_2641,3521
609,VID_15745,0
610,VID_5929,0
611,VID_769,3205
612,VID_5499,1529
613,VID_8609,936
614,VID_3903,0
615,VID_19579,932
616,VID_10506,3329
617,VID_23577,0
618,VID_9042,0
619,VID_10606,1269
620,VID_14849,1971
621,VID_10497,2561
622,VID_21208,3127
623,VID_12837,0
624,VID_7924,0
625,VID_21109,4535
626,VID_6848,2850
627,VID_8993,3193
628,VID_10584,3396
629,VID_19794,1090
630,VID_15209,1074
631,VID_6195,0
632,VID_22498,5277
633,VID_9814,3822
634,VID_18155,0
635,VID_20573,3782
636,VID_4092,2946
637,VID_15455,1777
638,VID_8989,2744
639,VID_1852,3628
640,VID_17278,4573
641,VID_12619,3883
642,VID_22663,4554
643,VID_15372,4271
644,VID_13978,0
645,VID_17325,1803
646,VID_19025,736
647,VID_21374,6840
648,VID_10207,3294
649,VID_11924,3489
650,VID_8975,730
651,VID_8851,1273
652,VID_12210,3611
653,VID_8178,2697
654,VID_19252,5776
655,VID_5421,0
656,VID_6757,1463
657,VID_8125,0
658,VID_14709,3417
659,VID_5795,1414
660,VID_21888,7616
661,VID_14058,2912
662,VID_8028,1713
663,VID_22918,5322
664,VID_11731,189
665,VID_22841,959
666,VID_7453,340
667,VID_11870,3490
668,VID_20484,3907
669,VID_1971,150
670,VID_599,727
671,VID_16812,0
672,VID_5401,0
673,VID_16289,3908
674,VID_12150,562
675,VID_13299,1218
676,VID_19015,2382
677,VID_1604,4045
678,VID_18013,0
679,VID_2240,0
680,VID_8114,0
681,VID_13586,0
682,VID_2784,150
683,VID_1539,5170
684,VID_6787,676
685,VID_11544,2369
686,VID_5296,3758
687,VID_5684,0
688,VID_7467,231
689,VID_5869,3662
690,VID_19596,1178
691,VID_96,3271
692,VID_859,0
693,VID_13559,6598
694,VID_20976,3237
695,VID_18524,2043
696,VID_3089,0
697,VID_4453,3250
698,VID_15802,4215
699,VID_18291,3927
700,VID_3914,1967
701,VID_10582,2721
702,VID_11482,3519
703,VID_615,1558
704,VID_19069,0
705,VID_911,0
706,VID_3308,0
707,VID_5668,969
708,VID_16402,4068
709,VID_19375,4082
710,VID_8556,912
711,VID_19966,3019
712,VID_17274,1214
713,VID_407,348
714,VID_23383,646
715,VID_6105,2090
716,VID_2643,2972
717,VID_18875,0
718,VID_13188,2992
719,VID_13504,4318
720,VID_17900,2809
721,VID_6368,0
722,VID_19648,6169
723,VID_23490,872
724,VID_9098,951
725,VID_12973,4288
726,VID_15207,4955
727,VID_17033,5974
728,VID_21758,11733
729,VID_21628,2884
730,VID_3935,1361
731,VID_5670,104
732,VID_13844,10608
733,VID_20416,1255
734,VID_19885,173
735,VID_15487,2853
736,VID_9890,1948
737,VID_17721,0
738,VID_2585,2375
739,VID_19723,6381
740,VID_22716,4610
741,VID_10004,2689
742,VID_1529,5036
743,VID_8126,0
744,VID_4224,0
745,VID_22704,5349
746,VID_10705,2521
747,VID_10524,2432
748,VID_1133,4359
749,VID_3404,0
750,VID_20344,2412
751,VID_9397,2619
752,VID_20601,245
753,VID_9482,2188
754,VID_6673,1
755,VID_3899,3865
756,VID_7008,1670
757,VID_2690,0
758,VID_7483,0
759,VID_1614,6504
760,VID_241,0
761,VID_13499,1210
762,VID_11734,13
763,VID_18937,0
764,VID_11906,9385
765,VID_11525,3359
766,VID_4199,4313
767,VID_19984,5638
768,VID_15743,841
769,VID_23097,560
770,VID_16716,1097
771,VID_6805,1943
772,VID_6552,3395
773,VID_269,2176
774,VID_13646,2427
775,VID_10761,1962
776,VID_16502,3815
777,VID_10352,0
778,VID_10226,1863
779,VID_23493,1166
780,VID_734,3224
781,VID_5364,0
782,VID_5122,3564
783,VID_2104,3677
784,VID_5143,4397
785,VID_3850,0
786,VID_23633,0
787,VID_19158,0
788,VID_23597,0
789,VID_5716,25
790,VID_23516,0
791,VID_12921,9509
792,VID_17949,171
793,VID_8164,2997
794,VID_2097,3935
795,VID_10400,2325
796,VID_998,1242
797,VID_11447,2311
798,VID_7866,0
799,VID_11664,956
800,VID_7094,3168
801,VID_19536,7714
802,VID_13747,3494
803,VID_6307,0
804,VID_2424,2454
805,VID_6363,0
806,VID_1524,2124
807,VID_20772,1970
808,VID_23466,1075
809,VID_10752,606
810,VID_4918,0
811,VID_23046,0
812,VID_6694,0
813,VID_4646,3834
814,VID_17016,3427
815,VID_11145,0
816,VID_12387,1625
817,VID_22126,1982
818,VID_17930,0
819,VID_12268,1054
820,VID_5192,0
821,VID_16369,3738
822,VID_11841,3271
823,VID_13926,1197
824,VID_5622,2492
825,VID_5346,2719
826,VID_10544,3493
827,VID_6622,169
828,VID_17583,1895
829,VID_13876,9641
830,VID_1033,2739
831,VID_10998,20347
832,VID_7037,3475
833,VID_22495,2438
834,VID_13170,0
835,VID_7480,0
836,VID_13753,3696
837,VID_13831,6549
838,VID_17763,0
839,VID_2793,2508
840,VID_20514,4269
841,VID_22850,4761
842,VID_3953,0
843,VID_2434,2525
844,VID_13670,3065
845,VID_12368,81
846,VID_19664,5100
847,VID_4173,609
848,VID_15859,2110
849,VID_14717,689
850,VID_18425,0
851,VID_5232,0
852,VID_6288,0
853,VID_7433,433
854,VID_1003,2650
855,VID_13060,3378
856,VID_15297,4901
857,VID_9730,604
858,VID_19022,1659
859,VID_1885,8997
860,VID_7425,104
861,VID_20867,11816
862,VID_2501,1352
863,VID_19822,0
864,VID_10604,739
865,VID_18763,556
866,VID_1818,1540
867,VID_16644,4487
868,VID_7528,682
869,VID_8166,870
870,VID_22357,13163
871,VID_3918,0
872,VID_10589,367
873,VID_3027,1187
874,VID_23607,0
875,VID_9153,4205
876,VID_291,3718
877,VID_8213,1495
878,VID_9424,0
879,VID_19769,1317
880,VID_22910,6093
881,VID_14626,3831
882,VID_2363,2354
883,VID_5125,3136
884,VID_16291,2792
885,VID_14392,0
886,VID_1036,2096
887,VID_14153,1862
888,VID_13506,3255
889,VID_6149,0
890,VID_2777,0
891,VID_19018,1940
892,VID_8497,1900
893,VID_21395,837
894,VID_7117,2347
895,VID_21328,0
896,VID_7710,4725
897,VID_17750,0
898,VID_1680,4904
899,VID_4028,2443
900,VID_20481,4871
901,VID_8880,2043
902,VID_21640,4407
903,VID_13074,230
904,VID_8763,720
905,VID_3983,0
906,VID_432,2640
907,VID_14174,3751
908,VID_23234,0
909,VID_23704,0
910,VID_5492,3353
911,VID_6329,0
912,VID_3504,0
913,VID_5758,2027
914,VID_4794,1242
915,VID_20788,0
916,VID_5213,0
917,VID_6785,0
918,VID_11456,3123
919,VID_22729,7383
920,VID_9741,1448
921,VID_16684,4585
922,VID_11853,0
923,VID_3598,455
924,VID_6772,0
925,VID_2469,0
926,VID_2206,0
927,VID_6843,255
928,VID_10634,0
929,VID_8040,2865
930,VID_12369,644
931,VID_2693,0
932,VID_11067,9513
933,VID_11520,2227
934,VID_2821,0
935,VID_3038,953
936,VID_11250,2877
937,VID_22710,2328
938,VID_11733,287
939,VID_7363,1763
940,VID_23723,2094
941,VID_11688,4081
942,VID_6034,2777
943,VID_22123,2854
944,VID_20388,7244
945,VID_6503,519
946,VID_15018,606
947,VID_22601,5407
948,VID_3210,72
949,VID_11450,1545
950,VID_1040,6478
951,VID_13938,0
952,VID_20462,4143
953,VID_22043,0
954,VID_23262,526
955,VID_13502,1291
956,VID_13855,5055
957,VID_1368,74
958,VID_9381,0
959,VID_12394,2595
960,VID_19290,4385
961,VID_5050,9461
962,VID_23326,1143
963,VID_5262,0
964,VID_23088,0
965,VID_13259,7496
966,VID_13056,0
967,VID_17553,1024
968,VID_5220,0
969,VID_16497,3014
970,VID_17882,0
971,VID_14613,1278
972,VID_600,247
973,VID_19476,4504
974,VID_814,0
975,VID_21709,5208
976,VID_23117,2214
977,VID_22461,2723
978,VID_5566,0
979,VID_3407,0
980,VID_5958,0
981,VID_15941,2352
982,VID_11387,3574
983,VID_11741,1647
984,VID_70,2573
985,VID_20781,6056
986,VID_11832,3366
987,VID_1723,6389
988,VID_6240,0
989,VID_8963,1504
990,VID_14121,2456
991,VID_7960,0
992,VID_14523,61
993,VID_20941,1172
994,VID_23728,5410
995,VID_17575,1181
996,VID_13353,0
997,VID_18877,0
998,VID_19283,5157
999,VID_19494,0
1000,VID_12311,4280
1001,VID_21019,6134
1002,VID_23343,0
1003,VID_16495,62850
1004,VID_2932,864
1005,VID_21207,2897
1006,VID_12004,3314
1007,VID_11129,5402
1008,VID_15892,4598
1009,VID_5645,0
1010,VID_8615,4102
1011,VID_20982,6588
1012,VID_12201,476
1013,VID_20427,1548
1014,VID_17217,4133
1015,VID_1642,346
1016,VID_11516,1959
1017,VID_23022,6041
1018,VID_7142,3212
1019,VID_9909,3310
1020,VID_9529,2945
1021,VID_22664,4937
1022,VID_435,813
1023,VID_15960,1742
1024,VID_12952,4566
1025,VID_21100,1652
1026,VID_23229,0
1027,VID_10906,0
1028,VID_2945,0
1029,VID_10393,0
1030,VID_11026,6232
1031,VID_13865,4593
1032,VID_13079,801
1033,VID_20285,0
1034,VID_22600,2427
1035,VID_15248,4096
1036,VID_12096,2850
1037,VID_12609,4118
1038,VID_21464,3465
1039,VID_2568,0
1040,VID_18864,2023
1041,VID_3347,0
1042,VID_15238,4431
1043,VID_17746,0
1044,VID_20055,1815
1045,VID_7138,3682
1046,VID_5665,1651
1047,VID_8130,0
1048,VID_14441,68
1049,VID_8693,381
1050,VID_12944,3140
1051,VID_3446,0
1052,VID_2862,5091
1053,VID_5671,0
1054,VID_8484,3925
1055,VID_5596,0
1056,VID_15925,3593
1057,VID_18290,2833
1058,VID_4102,3723
1059,VID_18762,1674
1060,VID_49,1263
1061,VID_19899,0
1062,VID_6311,1361
1063,VID_9972,2704
1064,VID_12965,3531
1065,VID_12420,2535
1066,VID_7547,3194
1067,VID_21893,9129
1068,VID_21819,5909
1069,VID_20945,1974
1070,VID_3359,0
1071,VID_1671,3274
1072,VID_7479,0
1073,VID_12766,3771
1074,VID_8145,0
1075,VID_13652,2308
1076,VID_21627,1981
1077,VID_472,0
1078,VID_16667,4454
1079,VID_20187,2157
1080,VID_18033,3084
1081,VID_1061,17808
1082,VID_3719,2918
1083,VID_14470,4161
1084,VID_430,324
1085,VID_22153,4440
1086,VID_19285,5585
1087,VID_8843,0
1088,VID_11084,269
1089,VID_1246,3005
1090,VID_22180,914
1091,VID_3111,0
1092,VID_7313,4000
1093,VID_23081,1054
1094,VID_10020,3618
1095,VID_5656,0
1096,VID_15080,3623
1097,VID_18949,0
1098,VID_10056,3380
1099,VID_17696,1280
1100,VID_23304,2039
1101,VID_22199,3472
1102,VID_4851,1592
1103,VID_3917,0
1104,VID_6859,5433
1105,VID_21622,2060
1106,VID_20987,3750
1107,VID_20279,0
1108,VID_12069,4189
1109,VID_3742,2232
1110,VID_5130,1304
1111,VID_3029,2481
1112,VID_23673,0
1113,VID_9586,0
1114,VID_11637,2054
1115,VID_15344,4030
1116,VID_12885,0
1117,VID_4096,0
1118,VID_4138,3826
1119,VID_12864,1
1120,VID_5340,0
1121,VID_11542,313
1122,VID_18608,2259
1123,VID_15189,5024
1124,VID_22317,44
1125,VID_22385,5408
1126,VID_10936,0
1127,VID_11519,2252
1128,VID_12576,2418
1129,VID_20918,5249
1130,VID_17112,13459
1131,VID_2396,937
1132,VID_3125,1239
1133,VID_9058,2303
1134,VID_5939,2758
1135,VID_7593,3730
1136,VID_4754,3564
1137,VID_2974,0
1138,VID_3590,6296
1139,VID_3600,1061
1140,VID_8459,2390
1141,VID_4543,4413
1142,VID_12434,2307
1143,VID_12167,4621
1144,VID_1322,6033
1145,VID_19409,506
1146,VID_10523,3389
1147,VID_4457,2770
1148,VID_19478,1079
1149,VID_20828,7826
1150,VID_10775,0
1151,VID_12091,1205
1152,VID_14378,3313
1153,VID_1418,5794
1154,VID_12458,0
1155,VID_15357,4770
1156,VID_3555,0
1157,VID_19662,5118
1158,VID_9393,3055
1159,VID_19125,0
1160,VID_17044,3169
1161,VID_14112,1455
1162,VID_22607,5697
1163,VID_9508,1348
1164,VID_18141,3384
1165,VID_13392,0
1166,VID_6306,0
1167,VID_16298,1573
1168,VID_5832,2105
1169,VID_20852,7042
1170,VID_2052,0
1171,VID_11283,0
1172,VID_20392,6633
1173,VID_22108,9286
1174,VID_3064,448
1175,VID_4482,259
1176,VID_11672,4199
1177,VID_3301,827
1178,VID_20106,4826
1179,VID_16205,5307
1180,VID_9532,4621
1181,VID_11294,0
1182,VID_12690,0
1183,VID_21059,3759
1184,VID_2388,2126
1185,VID_17405,0
1186,VID_3099,1993
1187,VID_20770,554
1188,VID_17262,1155
1189,VID_4476,1736
1190,VID_1163,2869
1191,VID_22777,5385
1192,VID_21090,4026
1193,VID_6598,1831
1194,VID_5743,143
1195,VID_21253,1006
1196,VID_20611,2598
1197,VID_1089,2576
1198,VID_4371,3202
1199,VID_17003,5057
1200,VID_18424,0
1201,VID_1222,3175
1202,VID_6479,0
1203,VID_13563,5907
1204,VID_12946,3338
1205,VID_8437,3347
1206,VID_21515,4924
1207,VID_14775,1632
1208,VID_17802,49
1209,VID_8274,0
1210,VID_23680,1389
1211,VID_6005,3036
1212,VID_23105,990
1213,VID_9956,129
1214,VID_6750,0
1215,VID_16401,2595
1216,VID_23075,0
1217,VID_14863,3271
1218,VID_19341,2313
1219,VID_19522,4575
1220,VID_7749,0
1221,VID_17107,6116
1222,VID_12774,3391
1223,VID_8974,1970
1224,VID_11208,867
1225,VID_6781,0
1226,VID_2411,268
1227,VID_8384,3411
1228,VID_21496,4573
1229,VID_18389,4136
1230,VID_18660,6522
1231,VID_1547,4377
1232,VID_1065,2858
1233,VID_7387,3209
1234,VID_11746,1441
1235,VID_7133,3212
1236,VID_17890,0
1237,VID_12710,7507
1238,VID_4806,2194
1239,VID_1976,1701
1240,VID_13114,0
1241,VID_19933,1871
1242,VID_8961,2284
1243,VID_4436,3710
1244,VID_11471,3565
1245,VID_6393,0
1246,VID_8690,0
1247,VID_1266,2175
1248,VID_10199,2888
1249,VID_16287,4975
1250,VID_11285,967
1251,VID_22078,0
1252,VID_22632,1657
1253,VID_17811,2443
1254,VID_308,3733
1255,VID_8559,4009
1256,VID_13391,0
1257,VID_23733,6312
1258,VID_12814,0
1259,VID_7783,0
1260,VID_11619,2869
1261,VID_4950,316
1262,VID_17844,3034
1263,VID_15758,2936
1264,VID_20079,0
1265,VID_10069,4209
1266,VID_15577,3814
1267,VID_9911,2297
1268,VID_17668,3453
1269,VID_22412,4588
1270,VID_20668,1710
1271,VID_5469,288
1272,VID_3477,288
1273,VID_15324,5157
1274,VID_11267,1738
1275,VID_8597,3841
1276,VID_14548,4613
1277,VID_1194,4503
1278,VID_5600,0
1279,VID_714,1621
1280,VID_15462,0
1281,VID_17243,253
1282,VID_2432,1309
1283,VID_12784,2298
1284,VID_4755,4864
1285,VID_12103,1419
1286,VID_5452,0
1287,VID_1077,2005
1288,VID_13656,2779
